[ 2017-04-10T09:45:32+08:00 ] /web/index.php/Login | INFO: Tag[ route_check ] --START--
[ 2017-04-10T09:45:32+08:00 ] /web/index.php/Login | INFO: Run CheckRoute Behavior [ RunTime:0.002166s ]
[ 2017-04-10T09:45:32+08:00 ] /web/index.php/Login | INFO: Tag[ route_check ] --END-- [ RunTime:0.008296s ]
[ 2017-04-10T09:45:32+08:00 ] /web/index.php/Login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-04-10T09:45:32+08:00 ] /web/index.php/Login | INFO: Tag[ app_begin ] --START--
[ 2017-04-10T09:45:32+08:00 ] /web/index.php/Login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001475s ]
[ 2017-04-10T09:45:32+08:00 ] /web/index.php/Login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001542s ]
[ 2017-04-10T09:45:32+08:00 ] /web/index.php/Login | INFO: Tag[ view_template ] --START--
[ 2017-04-10T09:45:32+08:00 ] /web/index.php/Login | INFO: Run LocationTemplate Behavior [ RunTime:0.002226s ]
[ 2017-04-10T09:45:32+08:00 ] /web/index.php/Login | INFO: Tag[ view_template ] --END-- [ RunTime:0.002310s ]
[ 2017-04-10T09:45:32+08:00 ] /web/index.php/Login | INFO: Tag[ view_parse ] --START--
[ 2017-04-10T09:45:32+08:00 ] /web/index.php/Login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2017-04-10T09:45:32+08:00 ] /web/index.php/Login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-04-10T09:45:32+08:00 ] /web/index.php/Login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-04-10T09:45:32+08:00 ] /web/index.php/Login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-04-10T09:45:32+08:00 ] /web/index.php/Login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-04-10T09:45:32+08:00 ] /web/index.php/Login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-04-10T09:45:32+08:00 ] /web/index.php/Login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-04-10T09:45:32+08:00 ] /web/index.php/Login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-04-10T09:45:32+08:00 ] /web/index.php/Login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-04-10T09:45:32+08:00 ] /web/index.php/Login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-04-10T09:45:32+08:00 ] /web/index.php/Login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2017-04-10T09:45:32+08:00 ] /web/index.php/Login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2017-04-10T09:45:32+08:00 ] /web/index.php/Login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-04-10T09:45:32+08:00 ] /web/index.php/Login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
