[ 2017-04-07T10:23:54+08:00 ] /web/index.php | INFO: Tag[ app_begin ] --START--
[ 2017-04-07T10:23:54+08:00 ] /web/index.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001032s ]
[ 2017-04-07T10:23:54+08:00 ] /web/index.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001179s ]
[ 2017-04-07T10:23:54+08:00 ] /web/index.php/Login | INFO: Tag[ route_check ] --START--
[ 2017-04-07T10:23:54+08:00 ] /web/index.php/Login | INFO: Run CheckRoute Behavior [ RunTime:0.000633s ]
[ 2017-04-07T10:23:54+08:00 ] /web/index.php/Login | INFO: Tag[ route_check ] --END-- [ RunTime:0.000679s ]
[ 2017-04-07T10:23:54+08:00 ] /web/index.php/Login | NOTIC: [2] preg_replace(): The /e modifier is no longer supported, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-04-07T10:23:54+08:00 ] /web/index.php/Login | INFO: Tag[ app_begin ] --START--
[ 2017-04-07T10:23:54+08:00 ] /web/index.php/Login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000393s ]
[ 2017-04-07T10:23:54+08:00 ] /web/index.php/Login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000426s ]
[ 2017-04-07T10:23:54+08:00 ] /web/index.php/Login | INFO: Tag[ view_template ] --START--
[ 2017-04-07T10:23:54+08:00 ] /web/index.php/Login | INFO: Run LocationTemplate Behavior [ RunTime:0.001038s ]
[ 2017-04-07T10:23:54+08:00 ] /web/index.php/Login | INFO: Tag[ view_template ] --END-- [ RunTime:0.001068s ]
[ 2017-04-07T10:23:54+08:00 ] /web/index.php/Login | INFO: Tag[ view_parse ] --START--
[ 2017-04-07T10:23:54+08:00 ] /web/index.php/Login | NOTIC: [2] preg_replace(): The /e modifier is no longer supported, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2017-04-07T10:23:54+08:00 ] /web/index.php/Login | NOTIC: [2] preg_replace(): The /e modifier is no longer supported, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-04-07T10:23:54+08:00 ] /web/index.php/Login | NOTIC: [2] preg_replace(): The /e modifier is no longer supported, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-04-07T10:23:54+08:00 ] /web/index.php/Login | NOTIC: [2] preg_replace(): The /e modifier is no longer supported, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-04-07T10:23:54+08:00 ] /web/index.php/Login | NOTIC: [2] preg_replace(): The /e modifier is no longer supported, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
