[ 2017-04-10T13:27:12+08:00 ] /web/index.php/User | INFO: Tag[ route_check ] --START--
[ 2017-04-10T13:27:12+08:00 ] /web/index.php/User | INFO: Run CheckRoute Behavior [ RunTime:0.000637s ]
[ 2017-04-10T13:27:12+08:00 ] /web/index.php/User | INFO: Tag[ route_check ] --END-- [ RunTime:0.000705s ]
[ 2017-04-10T13:27:12+08:00 ] /web/index.php/User | INFO: Tag[ app_begin ] --START--
[ 2017-04-10T13:27:12+08:00 ] /web/index.php/User | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000397s ]
[ 2017-04-10T13:27:12+08:00 ] /web/index.php/User | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000432s ]
[ 2017-04-10T13:27:12+08:00 ] /web/index.php/User | NOTIC: [2] session_start() [<a href='function.session-start'>function.session-start</a>]: Cannot send session cookie - headers already sent by (output started at F:\nginx-1.8.1\html\web\Common\common.php:1) functions.php 第 411 行.
[ 2017-04-10T13:27:12+08:00 ] /web/index.php/User | NOTIC: [2] session_start() [<a href='function.session-start'>function.session-start</a>]: Cannot send session cache limiter - headers already sent (output started at F:\nginx-1.8.1\html\web\Common\common.php:1) functions.php 第 411 行.
[ 2017-04-10T13:27:12+08:00 ] /web/index.php/User | NOTIC: [8] A session had already been started - ignoring session_start() UserAction.class.php 第 6 行.
[ 2017-04-10T13:27:12+08:00 ] /web/index.php/User | NOTIC: [8] Undefined index:  zs78_admin2 UserAction.class.php 第 8 行.
[ 2017-04-10T13:27:12+08:00 ] /web/index.php/User | INFO: Tag[ route_check ] --START--
[ 2017-04-10T13:27:12+08:00 ] /web/index.php/User | INFO: Run CheckRoute Behavior [ RunTime:0.002130s ]
[ 2017-04-10T13:27:12+08:00 ] /web/index.php/User | INFO: Tag[ route_check ] --END-- [ RunTime:0.002239s ]
[ 2017-04-10T13:27:12+08:00 ] /web/index.php/User | INFO: Tag[ app_begin ] --START--
[ 2017-04-10T13:27:12+08:00 ] /web/index.php/User | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001873s ]
[ 2017-04-10T13:27:12+08:00 ] /web/index.php/User | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001941s ]
[ 2017-04-10T13:27:12+08:00 ] /web/index.php/User | NOTIC: [2] session_start() [<a href='function.session-start'>function.session-start</a>]: Cannot send session cookie - headers already sent by (output started at F:\nginx-1.8.1\html\web\Common\common.php:1) functions.php 第 411 行.
[ 2017-04-10T13:27:12+08:00 ] /web/index.php/User | NOTIC: [2] session_start() [<a href='function.session-start'>function.session-start</a>]: Cannot send session cache limiter - headers already sent (output started at F:\nginx-1.8.1\html\web\Common\common.php:1) functions.php 第 411 行.
[ 2017-04-10T13:27:12+08:00 ] /web/index.php/User | NOTIC: [8] A session had already been started - ignoring session_start() UserAction.class.php 第 6 行.
[ 2017-04-10T13:27:12+08:00 ] /web/index.php/User | NOTIC: [8] Undefined index:  zs78_admin2 UserAction.class.php 第 8 行.
[ 2017-04-10T13:27:12+08:00 ] /web/index.php/User | INFO: Tag[ route_check ] --START--
[ 2017-04-10T13:27:12+08:00 ] /web/index.php/User | INFO: Run CheckRoute Behavior [ RunTime:0.000607s ]
[ 2017-04-10T13:27:12+08:00 ] /web/index.php/User | INFO: Tag[ route_check ] --END-- [ RunTime:0.000668s ]
[ 2017-04-10T13:27:12+08:00 ] /web/index.php/User | INFO: Tag[ app_begin ] --START--
[ 2017-04-10T13:27:12+08:00 ] /web/index.php/User | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000379s ]
[ 2017-04-10T13:27:12+08:00 ] /web/index.php/User | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000412s ]
[ 2017-04-10T13:27:12+08:00 ] /web/index.php/User | NOTIC: [2] session_start() [<a href='function.session-start'>function.session-start</a>]: Cannot send session cookie - headers already sent by (output started at F:\nginx-1.8.1\html\web\Common\common.php:1) functions.php 第 411 行.
[ 2017-04-10T13:27:12+08:00 ] /web/index.php/User | NOTIC: [2] session_start() [<a href='function.session-start'>function.session-start</a>]: Cannot send session cache limiter - headers already sent (output started at F:\nginx-1.8.1\html\web\Common\common.php:1) functions.php 第 411 行.
[ 2017-04-10T13:27:12+08:00 ] /web/index.php/User | NOTIC: [8] A session had already been started - ignoring session_start() UserAction.class.php 第 6 行.
[ 2017-04-10T13:27:12+08:00 ] /web/index.php/User | NOTIC: [8] Undefined index:  zs78_admin2 UserAction.class.php 第 8 行.
[ 2017-04-10T13:27:12+08:00 ] /web/index.php/User | INFO: Tag[ route_check ] --START--
[ 2017-04-10T13:27:12+08:00 ] /web/index.php/User | INFO: Run CheckRoute Behavior [ RunTime:0.000646s ]
[ 2017-04-10T13:27:12+08:00 ] /web/index.php/User | INFO: Tag[ route_check ] --END-- [ RunTime:0.000719s ]
[ 2017-04-10T13:27:12+08:00 ] /web/index.php/User | INFO: Tag[ app_begin ] --START--
[ 2017-04-10T13:27:12+08:00 ] /web/index.php/User | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000415s ]
[ 2017-04-10T13:27:12+08:00 ] /web/index.php/User | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000453s ]
[ 2017-04-10T13:27:12+08:00 ] /web/index.php/User | NOTIC: [2] session_start() [<a href='function.session-start'>function.session-start</a>]: Cannot send session cookie - headers already sent by (output started at F:\nginx-1.8.1\html\web\Common\common.php:1) functions.php 第 411 行.
[ 2017-04-10T13:27:12+08:00 ] /web/index.php/User | NOTIC: [2] session_start() [<a href='function.session-start'>function.session-start</a>]: Cannot send session cache limiter - headers already sent (output started at F:\nginx-1.8.1\html\web\Common\common.php:1) functions.php 第 411 行.
