[ 2017-04-15T09:08:37+08:00 ] /web/index.php/User/ZcUserList | INFO: Tag[ route_check ] --START--
[ 2017-04-15T09:08:37+08:00 ] /web/index.php/User/ZcUserList | INFO: Run CheckRoute Behavior [ RunTime:0.009339s ]
[ 2017-04-15T09:08:37+08:00 ] /web/index.php/User/ZcUserList | INFO: Tag[ route_check ] --END-- [ RunTime:0.010244s ]
[ 2017-04-15T09:08:37+08:00 ] /web/index.php/User/ZcUserList | INFO: Tag[ app_begin ] --START--
[ 2017-04-15T09:08:37+08:00 ] /web/index.php/User/ZcUserList | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001514s ]
[ 2017-04-15T09:08:37+08:00 ] /web/index.php/User/ZcUserList | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001565s ]
[ 2017-04-15T09:08:37+08:00 ] /web/index.php/User/ZcUserList | NOTIC: [2] session_start() [<a href='function.session-start'>function.session-start</a>]: Cannot send session cookie - headers already sent by (output started at F:\nginx-1.8.1\html\web\Common\common.php:1) functions.php 第 411 行.
[ 2017-04-15T09:08:37+08:00 ] /web/index.php/User/ZcUserList | NOTIC: [2] session_start() [<a href='function.session-start'>function.session-start</a>]: Cannot send session cache limiter - headers already sent (output started at F:\nginx-1.8.1\html\web\Common\common.php:1) functions.php 第 411 行.
[ 2017-04-15T09:08:37+08:00 ] /web/index.php/User/ZcUserList | NOTIC: [8] A session had already been started - ignoring session_start() UserAction.class.php 第 6 行.
[ 2017-04-15T09:08:37+08:00 ] /web/index.php/User/ZcUserList | SQL: SELECT top 100 t1.UserID,t1.Rechange,CONVERT(varchar,t1.InsertDate,120) AS InsertDate,t2.GameID,t2.Accounts,t2.NickName,t2.LastLogonMachine,t2.UserMedal,t2.LockMobileFrom,t2.CustomID,t3.Score,t3.InsureScore,t4.zr,t5.zc FROM [QPRecordDB].[dbo].[RecordZcUser](nolock) t1 left join QPAccountsDB.dbo.AccountsInfo(nolock) t2 on t1.UserID=t2.UserID left join QPTreasureDB.dbo.GameScoreInfo(nolock) t3 on t1.UserID=t3.UserID left join (select UserID,SUM(Score) as zr from QPRecordDB.dbo.RecordUserZz(nolock) where Inout=1 group by UserID) t4 on t1.UserID=t4.UserID left join  (select UserID,SUM(Score) as zc from QPRecordDB.dbo.RecordUserZz(nolock) where Inout=2 group by UserID) t5 on t1.UserID=t5.userID order by t1.RecordID desc [ RunTime:0.142142s ]
[ 2017-04-15T09:08:37+08:00 ] /web/index.php/User/ZcUserList | INFO: Tag[ view_template ] --START--
[ 2017-04-15T09:08:37+08:00 ] /web/index.php/User/ZcUserList | INFO: Run LocationTemplate Behavior [ RunTime:0.011439s ]
[ 2017-04-15T09:08:37+08:00 ] /web/index.php/User/ZcUserList | INFO: Tag[ view_template ] --END-- [ RunTime:0.011601s ]
[ 2017-04-15T09:08:37+08:00 ] /web/index.php/User/ZcUserList | INFO: Tag[ view_parse ] --START--
[ 2017-04-15T09:08:37+08:00 ] /web/index.php/User/ZcUserList | NOTIC: [8] Undefined index:  zs78_admin2 head.html 第 262 行.
[ 2017-04-15T09:08:37+08:00 ] /web/index.php/User/ZcUserList | NOTIC: [8] Undefined index:  zs78_admin2 head.html 第 269 行.
[ 2017-04-15T09:08:37+08:00 ] /web/index.php/User/ZcUserList | NOTIC: [8] Undefined index:  zs78_admin2 head.html 第 278 行.
[ 2017-04-15T09:08:37+08:00 ] /web/index.php/User/ZcUserList | NOTIC: [8] Undefined index:  zs78_admin2 head.html 第 282 行.
[ 2017-04-15T09:08:37+08:00 ] /web/index.php/User/ZcUserList | NOTIC: [8] Undefined index:  zs78_admin2 head.html 第 288 行.
[ 2017-04-15T09:08:37+08:00 ] /web/index.php/User/ZcUserList | NOTIC: [8] Undefined index:  zs78_admin2 head.html 第 291 行.
[ 2017-04-15T09:08:37+08:00 ] /web/index.php/User/ZcUserList | NOTIC: [8] Undefined index:  zs78_admin2 head.html 第 293 行.
[ 2017-04-15T09:08:37+08:00 ] /web/index.php/User/ZcUserList | NOTIC: [8] Undefined index:  zs78_admin2 head.html 第 293 行.
[ 2017-04-15T09:08:37+08:00 ] /web/index.php/User/ZcUserList | NOTIC: [8] Undefined index:  zs78_admin2 head.html 第 293 行.
[ 2017-04-15T09:08:37+08:00 ] /web/index.php/User/ZcUserList | NOTIC: [8] Undefined index:  zs78_admin2 head.html 第 293 行.
[ 2017-04-15T09:08:37+08:00 ] /web/index.php/User/ZcUserList | NOTIC: [8] Undefined index:  IsOpenTokenLock 1c360c7f68dfc129d5fe23f30ddee6a7.php 第 29 行.
[ 2017-04-15T09:08:37+08:00 ] /web/index.php/User/ZcUserList | INFO: Run ParseTemplate Behavior [ RunTime:0.069588s ]
[ 2017-04-15T09:08:37+08:00 ] /web/index.php/User/ZcUserList | INFO: Tag[ view_parse ] --END-- [ RunTime:0.069647s ]
[ 2017-04-15T09:08:37+08:00 ] /web/index.php/User/ZcUserList | INFO: Tag[ view_filter ] --START--
[ 2017-04-15T09:08:37+08:00 ] /web/index.php/User/ZcUserList | INFO: Run ContentReplace Behavior [ RunTime:0.001281s ]
[ 2017-04-15T09:08:37+08:00 ] /web/index.php/User/ZcUserList | INFO: Run TokenBuild Behavior [ RunTime:0.001693s ]
[ 2017-04-15T09:08:37+08:00 ] /web/index.php/User/ZcUserList | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001074s ]
[ 2017-04-15T09:08:37+08:00 ] /web/index.php/User/ZcUserList | INFO: Run ShowRuntime Behavior [ RunTime:0.001287s ]
[ 2017-04-15T09:08:37+08:00 ] /web/index.php/User/ZcUserList | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005477s ]
[ 2017-04-15T09:08:37+08:00 ] /web/index.php/User/ZcUserList | NOTIC: [2] Cannot modify header information - headers already sent by (output started at F:\nginx-1.8.1\html\web\Common\common.php:1) View.class.php 第 120 行.
[ 2017-04-15T09:08:37+08:00 ] /web/index.php/User/ZcUserList | NOTIC: [2] Cannot modify header information - headers already sent by (output started at F:\nginx-1.8.1\html\web\Common\common.php:1) View.class.php 第 121 行.
[ 2017-04-15T09:08:37+08:00 ] /web/index.php/User/ZcUserList | NOTIC: [2] Cannot modify header information - headers already sent by (output started at F:\nginx-1.8.1\html\web\Common\common.php:1) View.class.php 第 122 行.
[ 2017-04-15T09:08:37+08:00 ] /web/index.php/User/ZcUserList | INFO: Tag[ view_end ] --START--
[ 2017-04-15T09:08:37+08:00 ] /web/index.php/User/ZcUserList | INFO: Run ShowPageTrace Behavior [ RunTime:0.001911s ]
[ 2017-04-15T09:08:37+08:00 ] /web/index.php/User/ZcUserList | INFO: Tag[ view_end ] --END-- [ RunTime:0.001972s ]
[ 2017-04-15T09:08:39+08:00 ] /web/index.php/User/kouliang | INFO: Tag[ route_check ] --START--
[ 2017-04-15T09:08:39+08:00 ] /web/index.php/User/kouliang | INFO: Run CheckRoute Behavior [ RunTime:0.000591s ]
[ 2017-04-15T09:08:39+08:00 ] /web/index.php/User/kouliang | INFO: Tag[ route_check ] --END-- [ RunTime:0.000653s ]
[ 2017-04-15T09:08:39+08:00 ] /web/index.php/User/kouliang | INFO: Tag[ app_begin ] --START--
[ 2017-04-15T09:08:39+08:00 ] /web/index.php/User/kouliang | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000379s ]
[ 2017-04-15T09:08:39+08:00 ] /web/index.php/User/kouliang | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000412s ]
[ 2017-04-15T09:08:39+08:00 ] /web/index.php/User/kouliang | NOTIC: [2] session_start() [<a href='function.session-start'>function.session-start</a>]: Cannot send session cookie - headers already sent by (output started at F:\nginx-1.8.1\html\web\Common\common.php:1) functions.php 第 411 行.
[ 2017-04-15T09:08:39+08:00 ] /web/index.php/User/kouliang | NOTIC: [2] session_start() [<a href='function.session-start'>function.session-start</a>]: Cannot send session cache limiter - headers already sent (output started at F:\nginx-1.8.1\html\web\Common\common.php:1) functions.php 第 411 行.
[ 2017-04-15T09:08:39+08:00 ] /web/index.php/User/kouliang | NOTIC: [8] A session had already been started - ignoring session_start() UserAction.class.php 第 6 行.
[ 2017-04-15T09:08:39+08:00 ] /web/index.php/User/kouliang | SQL: select *
from QPAccountsDB.dbo.kouliang   a
where EXISTS
(select 1 FROM
(select qdid,max(time)time from QPAccountsDB.dbo.kouliang    group by qdid) b where a.qdid=b.qdid and a.time =b.time ) [ RunTime:0.060694s ]
