[ 2017-05-04T09:50:38+08:00 ] /web/index.php/User/un_game?gameid=1 | INFO: Tag[ route_check ] --START--
[ 2017-05-04T09:50:38+08:00 ] /web/index.php/User/un_game?gameid=1 | INFO: Run CheckRoute Behavior [ RunTime:0.009209s ]
[ 2017-05-04T09:50:38+08:00 ] /web/index.php/User/un_game?gameid=1 | INFO: Tag[ route_check ] --END-- [ RunTime:0.018075s ]
[ 2017-05-04T09:50:38+08:00 ] /web/index.php/User/un_game?gameid=1 | INFO: Tag[ app_begin ] --START--
[ 2017-05-04T09:50:38+08:00 ] /web/index.php/User/un_game?gameid=1 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.018539s ]
[ 2017-05-04T09:50:38+08:00 ] /web/index.php/User/un_game?gameid=1 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.018774s ]
[ 2017-05-04T09:50:38+08:00 ] /web/index.php/User/un_game?gameid=1 | NOTIC: [8] A session had already been started - ignoring session_start() functions.php 第 411 行.
[ 2017-05-04T09:50:38+08:00 ] /web/index.php/User/un_game?gameid=1 | NOTIC: [8] A session had already been started - ignoring session_start() UserAction.class.php 第 6 行.
[ 2017-05-04T09:50:38+08:00 ] /web/index.php/User/un_game?gameid=1 | NOTIC: [8] Undefined index:  date UserAction.class.php 第 4194 行.
[ 2017-05-04T09:50:38+08:00 ] /web/index.php/User/un_game?gameid=1 | NOTIC: [8] Undefined index:  GameID UserAction.class.php 第 4199 行.
[ 2017-05-04T09:50:38+08:00 ] /web/index.php/User/un_game?gameid=1 | INFO: Tag[ view_template ] --START--
[ 2017-05-04T09:50:38+08:00 ] /web/index.php/User/un_game?gameid=1 | INFO: Run LocationTemplate Behavior [ RunTime:0.005307s ]
[ 2017-05-04T09:50:38+08:00 ] /web/index.php/User/un_game?gameid=1 | INFO: Tag[ view_template ] --END-- [ RunTime:0.005528s ]
[ 2017-05-04T09:50:38+08:00 ] /web/index.php/User/un_game?gameid=1 | INFO: Tag[ view_parse ] --START--
[ 2017-05-04T09:50:38+08:00 ] /web/index.php/User/un_game?gameid=1 | NOTIC: [8] A session had already been started - ignoring session_start() head.html 第 3 行.
[ 2017-05-04T09:50:38+08:00 ] /web/index.php/User/un_game?gameid=1 | NOTIC: [8] Undefined index:  zs78_admin2 head.html 第 278 行.
[ 2017-05-04T09:50:38+08:00 ] /web/index.php/User/un_game?gameid=1 | NOTIC: [8] Undefined index:  zs78_admin2 head.html 第 285 行.
[ 2017-05-04T09:50:38+08:00 ] /web/index.php/User/un_game?gameid=1 | NOTIC: [8] Undefined index:  zs78_admin2 head.html 第 294 行.
[ 2017-05-04T09:50:38+08:00 ] /web/index.php/User/un_game?gameid=1 | NOTIC: [8] Undefined index:  zs78_admin2 head.html 第 298 行.
[ 2017-05-04T09:50:38+08:00 ] /web/index.php/User/un_game?gameid=1 | NOTIC: [8] Undefined index:  zs78_admin2 head.html 第 304 行.
[ 2017-05-04T09:50:38+08:00 ] /web/index.php/User/un_game?gameid=1 | NOTIC: [8] Undefined index:  zs78_admin2 head.html 第 307 行.
[ 2017-05-04T09:50:38+08:00 ] /web/index.php/User/un_game?gameid=1 | NOTIC: [8] Undefined index:  zs78_admin2 head.html 第 317 行.
[ 2017-05-04T09:50:38+08:00 ] /web/index.php/User/un_game?gameid=1 | NOTIC: [8] Undefined index:  zs78_admin2 head.html 第 317 行.
[ 2017-05-04T09:50:38+08:00 ] /web/index.php/User/un_game?gameid=1 | NOTIC: [8] Undefined index:  zs78_admin2 head.html 第 317 行.
[ 2017-05-04T09:50:38+08:00 ] /web/index.php/User/un_game?gameid=1 | NOTIC: [8] Undefined index:  zs78_admin2 head.html 第 317 行.
[ 2017-05-04T09:50:38+08:00 ] /web/index.php/User/un_game?gameid=1 | NOTIC: [8] Undefined variable: GameID 0f509f7845b1b2e761d84df7512f2d27.php 第 6 行.
[ 2017-05-04T09:50:38+08:00 ] /web/index.php/User/un_game?gameid=1 | NOTIC: [8] Undefined variable: result 0f509f7845b1b2e761d84df7512f2d27.php 第 27 行.
