[ 2016-11-22T16:43:27+08:00 ] /qudao/ | INFO: Tag[ app_begin ] --START--
[ 2016-11-22T16:43:27+08:00 ] /qudao/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.014609s ]
[ 2016-11-22T16:43:27+08:00 ] /qudao/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.014784s ]
[ 2016-11-22T16:43:27+08:00 ] /qudao/index.php/User/index | INFO: Tag[ route_check ] --START--
[ 2016-11-22T16:43:27+08:00 ] /qudao/index.php/User/index | INFO: Run CheckRoute Behavior [ RunTime:0.003710s ]
[ 2016-11-22T16:43:27+08:00 ] /qudao/index.php/User/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.003871s ]
[ 2016-11-22T16:43:27+08:00 ] /qudao/index.php/User/index | INFO: Tag[ app_begin ] --START--
[ 2016-11-22T16:43:27+08:00 ] /qudao/index.php/User/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001097s ]
[ 2016-11-22T16:43:27+08:00 ] /qudao/index.php/User/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001205s ]
[ 2016-11-22T16:43:27+08:00 ] /qudao/index.php/Login | INFO: Tag[ route_check ] --START--
[ 2016-11-22T16:43:27+08:00 ] /qudao/index.php/Login | INFO: Run CheckRoute Behavior [ RunTime:0.001755s ]
[ 2016-11-22T16:43:27+08:00 ] /qudao/index.php/Login | INFO: Tag[ route_check ] --END-- [ RunTime:0.001915s ]
[ 2016-11-22T16:43:27+08:00 ] /qudao/index.php/Login | INFO: Tag[ app_begin ] --START--
[ 2016-11-22T16:43:27+08:00 ] /qudao/index.php/Login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001094s ]
[ 2016-11-22T16:43:27+08:00 ] /qudao/index.php/Login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001201s ]
[ 2016-11-22T16:43:27+08:00 ] /qudao/index.php/Login | INFO: Tag[ view_template ] --START--
[ 2016-11-22T16:43:27+08:00 ] /qudao/index.php/Login | INFO: Run LocationTemplate Behavior [ RunTime:0.002341s ]
[ 2016-11-22T16:43:27+08:00 ] /qudao/index.php/Login | INFO: Tag[ view_template ] --END-- [ RunTime:0.002464s ]
[ 2016-11-22T16:43:27+08:00 ] /qudao/index.php/Login | INFO: Tag[ view_parse ] --START--
[ 2016-11-22T16:43:27+08:00 ] /qudao/index.php/Login | INFO: Run ParseTemplate Behavior [ RunTime:0.043231s ]
[ 2016-11-22T16:43:27+08:00 ] /qudao/index.php/Login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.043353s ]
[ 2016-11-22T16:43:27+08:00 ] /qudao/index.php/Login | INFO: Tag[ view_filter ] --START--
[ 2016-11-22T16:43:27+08:00 ] /qudao/index.php/Login | INFO: Run ContentReplace Behavior [ RunTime:0.001766s ]
[ 2016-11-22T16:43:27+08:00 ] /qudao/index.php/Login | INFO: Run TokenBuild Behavior [ RunTime:0.002724s ]
[ 2016-11-22T16:43:27+08:00 ] /qudao/index.php/Login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.002184s ]
[ 2016-11-22T16:43:27+08:00 ] /qudao/index.php/Login | INFO: Run ShowRuntime Behavior [ RunTime:0.002011s ]
