[ 2016-11-23T00:47:17+08:00 ] /index.php/Login | INFO: Tag[ route_check ] --START--
[ 2016-11-23T00:47:17+08:00 ] /index.php/Login | INFO: Run CheckRoute Behavior [ RunTime:0.002802s ]
[ 2016-11-23T00:47:17+08:00 ] /index.php/Login | INFO: Tag[ route_check ] --END-- [ RunTime:0.002932s ]
[ 2016-11-23T00:47:17+08:00 ] /index.php/Login | INFO: Tag[ app_begin ] --START--
[ 2016-11-23T00:47:17+08:00 ] /index.php/Login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002153s ]
[ 2016-11-23T00:47:17+08:00 ] /index.php/Login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002257s ]
[ 2016-11-23T00:47:17+08:00 ] /index.php/Login | INFO: Tag[ view_template ] --START--
[ 2016-11-23T00:47:17+08:00 ] /index.php/Login | INFO: Run LocationTemplate Behavior [ RunTime:0.002886s ]
[ 2016-11-23T00:47:17+08:00 ] /index.php/Login | INFO: Tag[ view_template ] --END-- [ RunTime:0.003001s ]
[ 2016-11-23T00:47:17+08:00 ] /index.php/Login | INFO: Tag[ view_parse ] --START--
[ 2016-11-23T00:47:17+08:00 ] /index.php/Login | INFO: Run ParseTemplate Behavior [ RunTime:0.019977s ]
[ 2016-11-23T00:47:17+08:00 ] /index.php/Login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.020089s ]
[ 2016-11-23T00:47:17+08:00 ] /index.php/Login | INFO: Tag[ view_filter ] --START--
[ 2016-11-23T00:47:17+08:00 ] /index.php/Login | INFO: Run ContentReplace Behavior [ RunTime:0.001714s ]
[ 2016-11-23T00:47:17+08:00 ] /index.php/Login | INFO: Run TokenBuild Behavior [ RunTime:0.001838s ]
[ 2016-11-23T00:47:17+08:00 ] /index.php/Login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001531s ]
[ 2016-11-23T00:47:17+08:00 ] /index.php/Login | INFO: Run ShowRuntime Behavior [ RunTime:0.001946s ]
[ 2016-11-23T00:47:17+08:00 ] /index.php/Login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.007315s ]
[ 2016-11-23T00:47:17+08:00 ] /index.php/Login | INFO: Tag[ view_end ] --START--
[ 2016-11-23T00:47:17+08:00 ] /index.php/Login | INFO: Run ShowPageTrace Behavior [ RunTime:0.001982s ]
[ 2016-11-23T00:47:17+08:00 ] /index.php/Login | INFO: Tag[ view_end ] --END-- [ RunTime:0.002083s ]
[ 2016-11-23T03:01:34+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2016-11-23T03:01:34+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001662s ]
[ 2016-11-23T03:01:34+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001826s ]
[ 2016-11-23T03:35:06+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2016-11-23T03:35:06+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001667s ]
[ 2016-11-23T03:35:06+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001832s ]
[ 2016-11-23T08:30:34+08:00 ] http://www.baidu.com/ | INFO: Tag[ app_begin ] --START--
[ 2016-11-23T08:30:34+08:00 ] http://www.baidu.com/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001683s ]
[ 2016-11-23T08:30:34+08:00 ] http://www.baidu.com/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001817s ]
[ 2016-11-23T08:33:13+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2016-11-23T08:33:13+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001740s ]
[ 2016-11-23T08:33:13+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001863s ]
[ 2016-11-23T09:07:03+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2016-11-23T09:07:03+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001671s ]
[ 2016-11-23T09:07:03+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001793s ]
[ 2016-11-23T10:15:38+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2016-11-23T10:15:38+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001646s ]
[ 2016-11-23T10:15:38+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001770s ]
[ 2016-11-23T11:36:39+08:00 ] http://m.baidu.com/?rands=_1488036901226015824203408 | INFO: Tag[ app_begin ] --START--
[ 2016-11-23T11:36:39+08:00 ] http://m.baidu.com/?rands=_1488036901226015824203408 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001658s ]
[ 2016-11-23T11:36:39+08:00 ] http://m.baidu.com/?rands=_1488036901226015824203408 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001799s ]
[ 2016-11-23T11:36:40+08:00 ] http://www.sogou.com/?rands=_1624784915025580882338456 | INFO: Tag[ app_begin ] --START--
[ 2016-11-23T11:36:40+08:00 ] http://www.sogou.com/?rands=_1624784915025580882338456 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001088s ]
[ 2016-11-23T11:36:40+08:00 ] http://www.sogou.com/?rands=_1624784915025580882338456 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001219s ]
[ 2016-11-23T13:54:45+08:00 ] /qudao/ | INFO: Tag[ app_begin ] --START--
[ 2016-11-23T13:54:45+08:00 ] /qudao/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001662s ]
[ 2016-11-23T13:54:45+08:00 ] /qudao/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001825s ]
[ 2016-11-23T13:54:45+08:00 ] /qudao/index.php/User/index | INFO: Tag[ route_check ] --START--
[ 2016-11-23T13:54:45+08:00 ] /qudao/index.php/User/index | INFO: Run CheckRoute Behavior [ RunTime:0.002308s ]
[ 2016-11-23T13:54:45+08:00 ] /qudao/index.php/User/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.002472s ]
[ 2016-11-23T13:54:45+08:00 ] /qudao/index.php/User/index | INFO: Tag[ app_begin ] --START--
[ 2016-11-23T13:54:45+08:00 ] /qudao/index.php/User/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001082s ]
[ 2016-11-23T13:54:45+08:00 ] /qudao/index.php/User/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001191s ]
[ 2016-11-23T13:54:46+08:00 ] /qudao/index.php/Login | INFO: Tag[ route_check ] --START--
[ 2016-11-23T13:54:46+08:00 ] /qudao/index.php/Login | INFO: Run CheckRoute Behavior [ RunTime:0.001746s ]
[ 2016-11-23T13:54:46+08:00 ] /qudao/index.php/Login | INFO: Tag[ route_check ] --END-- [ RunTime:0.001909s ]
[ 2016-11-23T13:54:46+08:00 ] /qudao/index.php/Login | INFO: Tag[ app_begin ] --START--
[ 2016-11-23T13:54:46+08:00 ] /qudao/index.php/Login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001428s ]
[ 2016-11-23T13:54:46+08:00 ] /qudao/index.php/Login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001536s ]
[ 2016-11-23T13:54:46+08:00 ] /qudao/index.php/Login | INFO: Tag[ view_template ] --START--
[ 2016-11-23T13:54:46+08:00 ] /qudao/index.php/Login | INFO: Run LocationTemplate Behavior [ RunTime:0.001968s ]
[ 2016-11-23T13:54:46+08:00 ] /qudao/index.php/Login | INFO: Tag[ view_template ] --END-- [ RunTime:0.002089s ]
[ 2016-11-23T13:54:46+08:00 ] /qudao/index.php/Login | INFO: Tag[ view_parse ] --START--
[ 2016-11-23T13:54:46+08:00 ] /qudao/index.php/Login | INFO: Run ParseTemplate Behavior [ RunTime:0.017433s ]
[ 2016-11-23T13:54:46+08:00 ] /qudao/index.php/Login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.017552s ]
[ 2016-11-23T13:54:46+08:00 ] /qudao/index.php/Login | INFO: Tag[ view_filter ] --START--
[ 2016-11-23T13:54:46+08:00 ] /qudao/index.php/Login | INFO: Run ContentReplace Behavior [ RunTime:0.001214s ]
[ 2016-11-23T13:54:46+08:00 ] /qudao/index.php/Login | INFO: Run TokenBuild Behavior [ RunTime:0.001861s ]
[ 2016-11-23T13:54:46+08:00 ] /qudao/index.php/Login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001535s ]
[ 2016-11-23T13:54:46+08:00 ] /qudao/index.php/Login | INFO: Run ShowRuntime Behavior [ RunTime:0.001982s ]
[ 2016-11-23T13:54:46+08:00 ] /qudao/index.php/Login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.006894s ]
