[ 2016-11-24T00:40:26+08:00 ] http://m.baidu.com/?rands=_1765871530026683563511552 | INFO: Tag[ app_begin ] --START--
[ 2016-11-24T00:40:26+08:00 ] http://m.baidu.com/?rands=_1765871530026683563511552 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001652s ]
[ 2016-11-24T00:40:26+08:00 ] http://m.baidu.com/?rands=_1765871530026683563511552 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001777s ]
[ 2016-11-24T00:40:26+08:00 ] http://www.sogou.com/?rands=_148269149402754990903476 | INFO: Tag[ app_begin ] --START--
[ 2016-11-24T00:40:26+08:00 ] http://www.sogou.com/?rands=_148269149402754990903476 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001094s ]
[ 2016-11-24T00:40:26+08:00 ] http://www.sogou.com/?rands=_148269149402754990903476 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001222s ]
[ 2016-11-24T04:08:25+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2016-11-24T04:08:25+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001691s ]
[ 2016-11-24T04:08:25+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001857s ]
[ 2016-11-24T06:33:25+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2016-11-24T06:33:25+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001677s ]
[ 2016-11-24T06:33:25+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001843s ]
[ 2016-11-24T08:46:55+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2016-11-24T08:46:55+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001672s ]
[ 2016-11-24T08:46:55+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001843s ]
[ 2016-11-24T08:52:41+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2016-11-24T08:52:41+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001679s ]
[ 2016-11-24T08:52:41+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001843s ]
[ 2016-11-24T10:04:59+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2016-11-24T10:04:59+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002157s ]
[ 2016-11-24T10:04:59+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002281s ]
[ 2016-11-24T11:32:55+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2016-11-24T11:32:55+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001640s ]
[ 2016-11-24T11:32:55+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001771s ]
[ 2016-11-24T13:11:59+08:00 ] 163mx02.mxmail.netease.com:25 | INFO: Tag[ app_begin ] --START--
[ 2016-11-24T13:11:59+08:00 ] 163mx02.mxmail.netease.com:25 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001310s ]
[ 2016-11-24T13:11:59+08:00 ] 163mx02.mxmail.netease.com:25 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001484s ]
[ 2016-11-24T13:13:00+08:00 ] http://m.baidu.com/?rands=_46642222423119323823496 | INFO: Tag[ app_begin ] --START--
[ 2016-11-24T13:13:00+08:00 ] http://m.baidu.com/?rands=_46642222423119323823496 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001669s ]
[ 2016-11-24T13:13:00+08:00 ] http://m.baidu.com/?rands=_46642222423119323823496 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001835s ]
[ 2016-11-24T13:13:00+08:00 ] http://www.sogou.com/?rands=_657670539086424925232 | INFO: Tag[ app_begin ] --START--
[ 2016-11-24T13:13:00+08:00 ] http://www.sogou.com/?rands=_657670539086424925232 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001094s ]
[ 2016-11-24T13:13:00+08:00 ] http://www.sogou.com/?rands=_657670539086424925232 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001254s ]
[ 2016-11-24T15:24:50+08:00 ] /index.php/Login | INFO: Tag[ route_check ] --START--
[ 2016-11-24T15:24:50+08:00 ] /index.php/Login | INFO: Run CheckRoute Behavior [ RunTime:0.002318s ]
[ 2016-11-24T15:24:50+08:00 ] /index.php/Login | INFO: Tag[ route_check ] --END-- [ RunTime:0.002453s ]
[ 2016-11-24T15:24:50+08:00 ] /index.php/Login | INFO: Tag[ app_begin ] --START--
[ 2016-11-24T15:24:50+08:00 ] /index.php/Login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001655s ]
[ 2016-11-24T15:24:50+08:00 ] /index.php/Login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001766s ]
[ 2016-11-24T15:24:50+08:00 ] /index.php/Login | INFO: Tag[ view_template ] --START--
[ 2016-11-24T15:24:50+08:00 ] /index.php/Login | INFO: Run LocationTemplate Behavior [ RunTime:0.001982s ]
[ 2016-11-24T15:24:50+08:00 ] /index.php/Login | INFO: Tag[ view_template ] --END-- [ RunTime:0.002117s ]
[ 2016-11-24T15:24:50+08:00 ] /index.php/Login | INFO: Tag[ view_parse ] --START--
[ 2016-11-24T15:24:50+08:00 ] /index.php/Login | INFO: Run ParseTemplate Behavior [ RunTime:0.017987s ]
[ 2016-11-24T15:24:50+08:00 ] /index.php/Login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.018104s ]
[ 2016-11-24T15:24:50+08:00 ] /index.php/Login | INFO: Tag[ view_filter ] --START--
[ 2016-11-24T15:24:50+08:00 ] /index.php/Login | INFO: Run ContentReplace Behavior [ RunTime:0.001729s ]
[ 2016-11-24T15:24:50+08:00 ] /index.php/Login | INFO: Run TokenBuild Behavior [ RunTime:0.001853s ]
[ 2016-11-24T15:24:50+08:00 ] /index.php/Login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001542s ]
[ 2016-11-24T15:24:50+08:00 ] /index.php/Login | INFO: Run ShowRuntime Behavior [ RunTime:0.001970s ]
[ 2016-11-24T15:24:50+08:00 ] /index.php/Login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.007396s ]
[ 2016-11-24T15:24:50+08:00 ] /index.php/Login | INFO: Tag[ view_end ] --START--
[ 2016-11-24T15:24:50+08:00 ] /index.php/Login | INFO: Run ShowPageTrace Behavior [ RunTime:0.002274s ]
[ 2016-11-24T15:24:50+08:00 ] /index.php/Login | INFO: Tag[ view_end ] --END-- [ RunTime:0.002380s ]
[ 2016-11-24T15:24:59+08:00 ] /index.php/Login | INFO: Tag[ route_check ] --START--
[ 2016-11-24T15:24:59+08:00 ] /index.php/Login | INFO: Run CheckRoute Behavior [ RunTime:0.002294s ]
[ 2016-11-24T15:24:59+08:00 ] /index.php/Login | INFO: Tag[ route_check ] --END-- [ RunTime:0.002420s ]
[ 2016-11-24T15:24:59+08:00 ] /index.php/Login | INFO: Tag[ app_begin ] --START--
[ 2016-11-24T15:24:59+08:00 ] /index.php/Login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002155s ]
[ 2016-11-24T15:24:59+08:00 ] /index.php/Login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002259s ]
[ 2016-11-24T15:24:59+08:00 ] /index.php/Login | INFO: Tag[ view_template ] --START--
[ 2016-11-24T15:24:59+08:00 ] /index.php/Login | INFO: Run LocationTemplate Behavior [ RunTime:0.002439s ]
[ 2016-11-24T15:24:59+08:00 ] /index.php/Login | INFO: Tag[ view_template ] --END-- [ RunTime:0.002554s ]
[ 2016-11-24T15:24:59+08:00 ] /index.php/Login | INFO: Tag[ view_parse ] --START--
[ 2016-11-24T15:24:59+08:00 ] /index.php/Login | INFO: Run ParseTemplate Behavior [ RunTime:0.019337s ]
[ 2016-11-24T15:24:59+08:00 ] /index.php/Login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.019448s ]
[ 2016-11-24T15:24:59+08:00 ] /index.php/Login | INFO: Tag[ view_filter ] --START--
[ 2016-11-24T15:24:59+08:00 ] /index.php/Login | INFO: Run ContentReplace Behavior [ RunTime:0.001727s ]
[ 2016-11-24T15:24:59+08:00 ] /index.php/Login | INFO: Run TokenBuild Behavior [ RunTime:0.001835s ]
[ 2016-11-24T15:24:59+08:00 ] /index.php/Login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001520s ]
[ 2016-11-24T15:24:59+08:00 ] /index.php/Login | INFO: Run ShowRuntime Behavior [ RunTime:0.001938s ]
[ 2016-11-24T15:24:59+08:00 ] /index.php/Login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.007302s ]
[ 2016-11-24T15:24:59+08:00 ] /index.php/Login | INFO: Tag[ view_end ] --START--
[ 2016-11-24T15:24:59+08:00 ] /index.php/Login | INFO: Run ShowPageTrace Behavior [ RunTime:0.001975s ]
[ 2016-11-24T15:24:59+08:00 ] /index.php/Login | INFO: Tag[ view_end ] --END-- [ RunTime:0.002077s ]
[ 2016-11-24T16:16:46+08:00 ] search.yahoo.com:443 | INFO: Tag[ app_begin ] --START--
[ 2016-11-24T16:16:46+08:00 ] search.yahoo.com:443 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001675s ]
[ 2016-11-24T16:16:46+08:00 ] search.yahoo.com:443 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001805s ]
[ 2016-11-24T16:16:46+08:00 ] search.yahoo.com:443 | INFO: Tag[ app_begin ] --START--
[ 2016-11-24T16:16:46+08:00 ] search.yahoo.com:443 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001101s ]
[ 2016-11-24T16:16:46+08:00 ] search.yahoo.com:443 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001233s ]
[ 2016-11-24T16:36:41+08:00 ] /qudao/ | INFO: Tag[ app_begin ] --START--
[ 2016-11-24T16:36:41+08:00 ] /qudao/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001651s ]
[ 2016-11-24T16:36:41+08:00 ] /qudao/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001778s ]
[ 2016-11-24T16:36:42+08:00 ] /qudao/index.php/Login | INFO: Tag[ route_check ] --START--
[ 2016-11-24T16:36:42+08:00 ] /qudao/index.php/Login | INFO: Run CheckRoute Behavior [ RunTime:0.002356s ]
[ 2016-11-24T16:36:42+08:00 ] /qudao/index.php/Login | INFO: Tag[ route_check ] --END-- [ RunTime:0.002478s ]
[ 2016-11-24T16:36:42+08:00 ] /qudao/index.php/Login | INFO: Tag[ app_begin ] --START--
[ 2016-11-24T16:36:42+08:00 ] /qudao/index.php/Login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001068s ]
[ 2016-11-24T16:36:42+08:00 ] /qudao/index.php/Login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001169s ]
[ 2016-11-24T16:36:42+08:00 ] /qudao/index.php/Login | INFO: Tag[ view_template ] --START--
[ 2016-11-24T16:36:42+08:00 ] /qudao/index.php/Login | INFO: Run LocationTemplate Behavior [ RunTime:0.002162s ]
[ 2016-11-24T16:36:42+08:00 ] /qudao/index.php/Login | INFO: Tag[ view_template ] --END-- [ RunTime:0.002277s ]
[ 2016-11-24T16:36:42+08:00 ] /qudao/index.php/Login | INFO: Tag[ view_parse ] --START--
[ 2016-11-24T16:36:42+08:00 ] /qudao/index.php/Login | INFO: Run ParseTemplate Behavior [ RunTime:0.019767s ]
[ 2016-11-24T16:36:42+08:00 ] /qudao/index.php/Login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.019878s ]
[ 2016-11-24T16:36:42+08:00 ] /qudao/index.php/Login | INFO: Tag[ view_filter ] --START--
[ 2016-11-24T16:36:42+08:00 ] /qudao/index.php/Login | INFO: Run ContentReplace Behavior [ RunTime:0.001713s ]
[ 2016-11-24T16:36:42+08:00 ] /qudao/index.php/Login | INFO: Run TokenBuild Behavior [ RunTime:0.001855s ]
[ 2016-11-24T16:36:42+08:00 ] /qudao/index.php/Login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001670s ]
[ 2016-11-24T16:36:42+08:00 ] /qudao/index.php/Login | INFO: Run ShowRuntime Behavior [ RunTime:0.001970s ]
[ 2016-11-24T16:36:42+08:00 ] /qudao/index.php/Login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.007493s ]
[ 2016-11-24T16:36:42+08:00 ] /qudao/index.php/Login | INFO: Tag[ view_end ] --START--
[ 2016-11-24T16:36:42+08:00 ] /qudao/index.php/Login | INFO: Run ShowPageTrace Behavior [ RunTime:0.001999s ]
[ 2016-11-24T16:36:42+08:00 ] /qudao/index.php/Login | INFO: Tag[ view_end ] --END-- [ RunTime:0.002099s ]
[ 2016-11-24T16:36:42+08:00 ] /qudao/index.php/Login/verify | INFO: Tag[ route_check ] --START--
[ 2016-11-24T16:36:42+08:00 ] /qudao/index.php/Login/verify | INFO: Run CheckRoute Behavior [ RunTime:0.001785s ]
[ 2016-11-24T16:36:42+08:00 ] /qudao/index.php/Login/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.001927s ]
[ 2016-11-24T16:36:42+08:00 ] /qudao/index.php/Login/verify | INFO: Tag[ app_begin ] --START--
[ 2016-11-24T16:36:42+08:00 ] /qudao/index.php/Login/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001080s ]
[ 2016-11-24T16:36:42+08:00 ] /qudao/index.php/Login/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001185s ]
[ 2016-11-24T16:36:43+08:00 ] /qudao/ | INFO: Tag[ app_begin ] --START--
[ 2016-11-24T16:36:43+08:00 ] /qudao/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001648s ]
[ 2016-11-24T16:36:43+08:00 ] /qudao/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001774s ]
[ 2016-11-24T16:36:43+08:00 ] /qudao/index.php/Login | INFO: Tag[ route_check ] --START--
[ 2016-11-24T16:36:43+08:00 ] /qudao/index.php/Login | INFO: Run CheckRoute Behavior [ RunTime:0.002996s ]
[ 2016-11-24T16:36:43+08:00 ] /qudao/index.php/Login | INFO: Tag[ route_check ] --END-- [ RunTime:0.003119s ]
[ 2016-11-24T16:36:43+08:00 ] /qudao/index.php/Login | INFO: Tag[ app_begin ] --START--
[ 2016-11-24T16:36:43+08:00 ] /qudao/index.php/Login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001085s ]
[ 2016-11-24T16:36:43+08:00 ] /qudao/index.php/Login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001188s ]
[ 2016-11-24T16:36:43+08:00 ] /qudao/index.php/Login | INFO: Tag[ view_template ] --START--
[ 2016-11-24T16:36:43+08:00 ] /qudao/index.php/Login | INFO: Run LocationTemplate Behavior [ RunTime:0.002737s ]
[ 2016-11-24T16:36:43+08:00 ] /qudao/index.php/Login | INFO: Tag[ view_template ] --END-- [ RunTime:0.002852s ]
[ 2016-11-24T16:36:43+08:00 ] /qudao/index.php/Login | INFO: Tag[ view_parse ] --START--
[ 2016-11-24T16:36:43+08:00 ] /qudao/index.php/Login | INFO: Run ParseTemplate Behavior [ RunTime:0.020506s ]
[ 2016-11-24T16:36:43+08:00 ] /qudao/index.php/Login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.020619s ]
[ 2016-11-24T16:36:43+08:00 ] /qudao/index.php/Login | INFO: Tag[ view_filter ] --START--
[ 2016-11-24T16:36:43+08:00 ] /qudao/index.php/Login | INFO: Run ContentReplace Behavior [ RunTime:0.002117s ]
[ 2016-11-24T16:36:43+08:00 ] /qudao/index.php/Login | INFO: Run TokenBuild Behavior [ RunTime:0.001882s ]
[ 2016-11-24T16:36:43+08:00 ] /qudao/index.php/Login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001554s ]
[ 2016-11-24T16:36:43+08:00 ] /qudao/index.php/Login | INFO: Run ShowRuntime Behavior [ RunTime:0.002027s ]
[ 2016-11-24T16:36:43+08:00 ] /qudao/index.php/Login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.007886s ]
[ 2016-11-24T16:36:43+08:00 ] /qudao/index.php/Login | INFO: Tag[ view_end ] --START--
[ 2016-11-24T16:36:43+08:00 ] /qudao/index.php/Login | INFO: Run ShowPageTrace Behavior [ RunTime:0.002015s ]
[ 2016-11-24T16:36:43+08:00 ] /qudao/index.php/Login | INFO: Tag[ view_end ] --END-- [ RunTime:0.002118s ]
[ 2016-11-24T16:36:43+08:00 ] /qudao/index.php/Login/verify | INFO: Tag[ route_check ] --START--
[ 2016-11-24T16:36:43+08:00 ] /qudao/index.php/Login/verify | INFO: Run CheckRoute Behavior [ RunTime:0.002831s ]
[ 2016-11-24T16:36:43+08:00 ] /qudao/index.php/Login/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.002958s ]
[ 2016-11-24T16:36:43+08:00 ] /qudao/index.php/Login/verify | INFO: Tag[ app_begin ] --START--
[ 2016-11-24T16:36:43+08:00 ] /qudao/index.php/Login/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001078s ]
[ 2016-11-24T16:36:43+08:00 ] /qudao/index.php/Login/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001182s ]
[ 2016-11-24T16:36:45+08:00 ] /qudao/index.php/Login/userCheck | INFO: Tag[ route_check ] --START--
[ 2016-11-24T16:36:45+08:00 ] /qudao/index.php/Login/userCheck | INFO: Run CheckRoute Behavior [ RunTime:0.002834s ]
[ 2016-11-24T16:36:45+08:00 ] /qudao/index.php/Login/userCheck | INFO: Tag[ route_check ] --END-- [ RunTime:0.002964s ]
[ 2016-11-24T16:36:45+08:00 ] /qudao/index.php/Login/userCheck | INFO: Tag[ app_begin ] --START--
[ 2016-11-24T16:36:45+08:00 ] /qudao/index.php/Login/userCheck | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001078s ]
[ 2016-11-24T16:36:45+08:00 ] /qudao/index.php/Login/userCheck | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001303s ]
[ 2016-11-24T16:36:45+08:00 ] /qudao/index.php/Login/userCheck | NOTIC: [8] A session had already been started - ignoring session_start() LoginAction.class.php 第 10 行.
[ 2016-11-24T16:36:47+08:00 ] /qudao/index.php/Login | INFO: Tag[ route_check ] --START--
[ 2016-11-24T16:36:47+08:00 ] /qudao/index.php/Login | INFO: Run CheckRoute Behavior [ RunTime:0.002823s ]
[ 2016-11-24T16:36:47+08:00 ] /qudao/index.php/Login | INFO: Tag[ route_check ] --END-- [ RunTime:0.002950s ]
[ 2016-11-24T16:36:47+08:00 ] /qudao/index.php/Login | INFO: Tag[ app_begin ] --START--
[ 2016-11-24T16:36:47+08:00 ] /qudao/index.php/Login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001070s ]
[ 2016-11-24T16:36:47+08:00 ] /qudao/index.php/Login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001174s ]
[ 2016-11-24T16:36:47+08:00 ] /qudao/index.php/Login | INFO: Tag[ view_template ] --START--
[ 2016-11-24T16:36:47+08:00 ] /qudao/index.php/Login | INFO: Run LocationTemplate Behavior [ RunTime:0.002233s ]
[ 2016-11-24T16:36:47+08:00 ] /qudao/index.php/Login | INFO: Tag[ view_template ] --END-- [ RunTime:0.002347s ]
[ 2016-11-24T16:36:47+08:00 ] /qudao/index.php/Login | INFO: Tag[ view_parse ] --START--
[ 2016-11-24T16:36:47+08:00 ] /qudao/index.php/Login | INFO: Run ParseTemplate Behavior [ RunTime:0.019148s ]
[ 2016-11-24T16:36:47+08:00 ] /qudao/index.php/Login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.019259s ]
[ 2016-11-24T16:36:47+08:00 ] /qudao/index.php/Login | INFO: Tag[ view_filter ] --START--
[ 2016-11-24T16:36:47+08:00 ] /qudao/index.php/Login | INFO: Run ContentReplace Behavior [ RunTime:0.001467s ]
[ 2016-11-24T16:36:47+08:00 ] /qudao/index.php/Login | INFO: Run TokenBuild Behavior [ RunTime:0.001855s ]
[ 2016-11-24T16:36:47+08:00 ] /qudao/index.php/Login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001528s ]
[ 2016-11-24T16:36:47+08:00 ] /qudao/index.php/Login | INFO: Run ShowRuntime Behavior [ RunTime:0.001975s ]
[ 2016-11-24T16:36:47+08:00 ] /qudao/index.php/Login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.007114s ]
[ 2016-11-24T16:36:47+08:00 ] /qudao/index.php/Login | INFO: Tag[ view_end ] --START--
[ 2016-11-24T16:36:47+08:00 ] /qudao/index.php/Login | INFO: Run ShowPageTrace Behavior [ RunTime:0.002082s ]
[ 2016-11-24T16:36:47+08:00 ] /qudao/index.php/Login | INFO: Tag[ view_end ] --END-- [ RunTime:0.002185s ]
[ 2016-11-24T16:36:47+08:00 ] /qudao/index.php/Login/verify | INFO: Tag[ route_check ] --START--
[ 2016-11-24T16:36:47+08:00 ] /qudao/index.php/Login/verify | INFO: Run CheckRoute Behavior [ RunTime:0.002806s ]
[ 2016-11-24T16:36:47+08:00 ] /qudao/index.php/Login/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.002930s ]
[ 2016-11-24T16:36:47+08:00 ] /qudao/index.php/Login/verify | INFO: Tag[ app_begin ] --START--
[ 2016-11-24T16:36:47+08:00 ] /qudao/index.php/Login/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001068s ]
[ 2016-11-24T16:36:47+08:00 ] /qudao/index.php/Login/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001173s ]
[ 2016-11-24T16:36:53+08:00 ] /qudao/index.php/Login/userCheck | INFO: Tag[ route_check ] --START--
[ 2016-11-24T16:36:53+08:00 ] /qudao/index.php/Login/userCheck | INFO: Run CheckRoute Behavior [ RunTime:0.002450s ]
[ 2016-11-24T16:36:53+08:00 ] /qudao/index.php/Login/userCheck | INFO: Tag[ route_check ] --END-- [ RunTime:0.002580s ]
[ 2016-11-24T16:36:53+08:00 ] /qudao/index.php/Login/userCheck | INFO: Tag[ app_begin ] --START--
[ 2016-11-24T16:36:53+08:00 ] /qudao/index.php/Login/userCheck | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001651s ]
[ 2016-11-24T16:36:53+08:00 ] /qudao/index.php/Login/userCheck | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001756s ]
[ 2016-11-24T16:36:53+08:00 ] /qudao/index.php/Login/userCheck | NOTIC: [8] A session had already been started - ignoring session_start() LoginAction.class.php 第 10 行.
