[ 2016-11-26T00:45:09+08:00 ] http://www.123cha.com | INFO: Tag[ app_begin ] --START--
[ 2016-11-26T00:45:09+08:00 ] http://www.123cha.com | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001677s ]
[ 2016-11-26T00:45:09+08:00 ] http://www.123cha.com | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001850s ]
[ 2016-11-26T00:45:15+08:00 ] http://www.boxun.com | INFO: Tag[ app_begin ] --START--
[ 2016-11-26T00:45:15+08:00 ] http://www.boxun.com | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001682s ]
[ 2016-11-26T00:45:15+08:00 ] http://www.boxun.com | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001851s ]
[ 2016-11-26T04:31:39+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2016-11-26T04:31:39+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001642s ]
[ 2016-11-26T04:31:39+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001770s ]
[ 2016-11-26T08:24:36+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2016-11-26T08:24:36+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001663s ]
[ 2016-11-26T08:24:36+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001836s ]
[ 2016-11-26T09:03:50+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2016-11-26T09:03:50+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001808s ]
[ 2016-11-26T09:03:50+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001936s ]
[ 2016-11-26T12:47:19+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2016-11-26T12:47:19+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002194s ]
[ 2016-11-26T12:47:19+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002364s ]
[ 2016-11-26T12:51:29+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2016-11-26T12:51:29+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001668s ]
[ 2016-11-26T12:51:29+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001836s ]
[ 2016-11-26T13:14:34+08:00 ] http://14.215.177.37/ | INFO: Tag[ app_begin ] --START--
[ 2016-11-26T13:14:34+08:00 ] http://14.215.177.37/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001646s ]
[ 2016-11-26T13:14:34+08:00 ] http://14.215.177.37/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001772s ]
[ 2016-11-26T13:28:13+08:00 ] http://14.215.177.37/ | INFO: Tag[ app_begin ] --START--
[ 2016-11-26T13:28:13+08:00 ] http://14.215.177.37/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000964s ]
[ 2016-11-26T13:28:13+08:00 ] http://14.215.177.37/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001049s ]
[ 2016-11-26T13:54:42+08:00 ] http://www.baidu.com/ | INFO: Tag[ app_begin ] --START--
[ 2016-11-26T13:54:42+08:00 ] http://www.baidu.com/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001685s ]
[ 2016-11-26T13:54:42+08:00 ] http://www.baidu.com/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001857s ]
[ 2016-11-26T13:54:46+08:00 ] http://www.baidu.com/ | INFO: Tag[ app_begin ] --START--
[ 2016-11-26T13:54:46+08:00 ] http://www.baidu.com/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001675s ]
[ 2016-11-26T13:54:46+08:00 ] http://www.baidu.com/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001844s ]
[ 2016-11-26T19:11:23+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2016-11-26T19:11:23+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001658s ]
[ 2016-11-26T19:11:23+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001782s ]
[ 2016-11-26T19:32:44+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2016-11-26T19:32:44+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002181s ]
[ 2016-11-26T19:32:44+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002349s ]
[ 2016-11-26T21:41:11+08:00 ] /qudao/ | INFO: Tag[ app_begin ] --START--
[ 2016-11-26T21:41:11+08:00 ] /qudao/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002186s ]
[ 2016-11-26T21:41:11+08:00 ] /qudao/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002309s ]
[ 2016-11-26T21:41:11+08:00 ] /qudao/index.php/User/index | INFO: Tag[ route_check ] --START--
[ 2016-11-26T21:41:11+08:00 ] /qudao/index.php/User/index | INFO: Run CheckRoute Behavior [ RunTime:0.002857s ]
[ 2016-11-26T21:41:11+08:00 ] /qudao/index.php/User/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.002983s ]
[ 2016-11-26T21:41:11+08:00 ] /qudao/index.php/User/index | INFO: Tag[ app_begin ] --START--
[ 2016-11-26T21:41:11+08:00 ] /qudao/index.php/User/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002187s ]
[ 2016-11-26T21:41:11+08:00 ] /qudao/index.php/User/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002290s ]
[ 2016-11-26T21:41:11+08:00 ] /qudao/ | INFO: Tag[ app_begin ] --START--
[ 2016-11-26T21:41:11+08:00 ] /qudao/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001670s ]
[ 2016-11-26T21:41:11+08:00 ] /qudao/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001796s ]
[ 2016-11-26T21:41:12+08:00 ] /qudao/index.php/User/index | INFO: Tag[ route_check ] --START--
[ 2016-11-26T21:41:12+08:00 ] /qudao/index.php/User/index | INFO: Run CheckRoute Behavior [ RunTime:0.002298s ]
[ 2016-11-26T21:41:12+08:00 ] /qudao/index.php/User/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.002421s ]
[ 2016-11-26T21:41:12+08:00 ] /qudao/index.php/User/index | INFO: Tag[ app_begin ] --START--
[ 2016-11-26T21:41:12+08:00 ] /qudao/index.php/User/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001124s ]
[ 2016-11-26T21:41:12+08:00 ] /qudao/index.php/User/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001229s ]
[ 2016-11-26T21:41:12+08:00 ] /qudao/index.php/Login | INFO: Tag[ route_check ] --START--
[ 2016-11-26T21:41:12+08:00 ] /qudao/index.php/Login | INFO: Run CheckRoute Behavior [ RunTime:0.001751s ]
[ 2016-11-26T21:41:12+08:00 ] /qudao/index.php/Login | INFO: Tag[ route_check ] --END-- [ RunTime:0.001875s ]
[ 2016-11-26T21:41:12+08:00 ] /qudao/index.php/Login | INFO: Tag[ app_begin ] --START--
[ 2016-11-26T21:41:12+08:00 ] /qudao/index.php/Login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001081s ]
[ 2016-11-26T21:41:12+08:00 ] /qudao/index.php/Login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001187s ]
[ 2016-11-26T21:41:12+08:00 ] /qudao/index.php/Login | INFO: Tag[ view_template ] --START--
[ 2016-11-26T21:41:12+08:00 ] /qudao/index.php/Login | INFO: Run LocationTemplate Behavior [ RunTime:0.001956s ]
[ 2016-11-26T21:41:12+08:00 ] /qudao/index.php/Login | INFO: Tag[ view_template ] --END-- [ RunTime:0.002075s ]
[ 2016-11-26T21:41:12+08:00 ] /qudao/index.php/Login | INFO: Tag[ view_parse ] --START--
[ 2016-11-26T21:41:12+08:00 ] /qudao/index.php/Login | INFO: Run ParseTemplate Behavior [ RunTime:0.019537s ]
[ 2016-11-26T21:41:12+08:00 ] /qudao/index.php/Login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.019779s ]
[ 2016-11-26T21:41:12+08:00 ] /qudao/index.php/Login | INFO: Tag[ view_filter ] --START--
