[ 2017-01-04T01:27:49+08:00 ] http://14.215.177.37/ | INFO: Tag[ app_begin ] --START--
[ 2017-01-04T01:27:49+08:00 ] http://14.215.177.37/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002205s ]
[ 2017-01-04T01:27:49+08:00 ] http://14.215.177.37/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002377s ]
[ 2017-01-04T07:07:14+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2017-01-04T07:07:14+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001676s ]
[ 2017-01-04T07:07:14+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001839s ]
[ 2017-01-04T07:07:14+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2017-01-04T07:07:14+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001107s ]
[ 2017-01-04T07:07:14+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001273s ]
[ 2017-01-04T07:42:11+08:00 ] http://baidu.com/ | INFO: Tag[ app_begin ] --START--
[ 2017-01-04T07:42:11+08:00 ] http://baidu.com/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001701s ]
[ 2017-01-04T07:42:11+08:00 ] http://baidu.com/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001874s ]
[ 2017-01-04T07:45:16+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2017-01-04T07:45:16+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001703s ]
[ 2017-01-04T07:45:16+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001866s ]
[ 2017-01-04T07:54:04+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2017-01-04T07:54:04+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001675s ]
[ 2017-01-04T07:54:04+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001846s ]
[ 2017-01-04T10:40:05+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2017-01-04T10:40:05+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002194s ]
[ 2017-01-04T10:40:05+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002324s ]
