[ 2017-04-17T09:36:25+08:00 ] /web/qudao/index.php/User | INFO: Tag[ route_check ] --START--
[ 2017-04-17T09:36:25+08:00 ] /web/qudao/index.php/User | INFO: Run CheckRoute Behavior [ RunTime:0.003055s ]
[ 2017-04-17T09:36:25+08:00 ] /web/qudao/index.php/User | INFO: Tag[ route_check ] --END-- [ RunTime:0.003238s ]
[ 2017-04-17T09:36:25+08:00 ] /web/qudao/index.php/User | INFO: Tag[ app_begin ] --START--
[ 2017-04-17T09:36:25+08:00 ] /web/qudao/index.php/User | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002460s ]
[ 2017-04-17T09:36:25+08:00 ] /web/qudao/index.php/User | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002565s ]
[ 2017-04-17T09:36:25+08:00 ] /web/qudao/index.php/User | NOTIC: [8] A session had already been started - ignoring session_start() functions.php 第 411 行.
[ 2017-04-17T09:36:25+08:00 ] /web/qudao/index.php/Login | INFO: Tag[ route_check ] --START--
[ 2017-04-17T09:36:25+08:00 ] /web/qudao/index.php/Login | INFO: Run CheckRoute Behavior [ RunTime:0.001161s ]
[ 2017-04-17T09:36:25+08:00 ] /web/qudao/index.php/Login | INFO: Tag[ route_check ] --END-- [ RunTime:0.001269s ]
[ 2017-04-17T09:36:25+08:00 ] /web/qudao/index.php/Login | INFO: Tag[ app_begin ] --START--
[ 2017-04-17T09:36:25+08:00 ] /web/qudao/index.php/Login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000645s ]
[ 2017-04-17T09:36:25+08:00 ] /web/qudao/index.php/Login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000702s ]
[ 2017-04-17T09:36:25+08:00 ] /web/qudao/index.php/Login | NOTIC: [8] A session had already been started - ignoring session_start() functions.php 第 411 行.
[ 2017-04-17T09:36:25+08:00 ] /web/qudao/index.php/Login | INFO: Tag[ view_template ] --START--
[ 2017-04-17T09:36:25+08:00 ] /web/qudao/index.php/Login | INFO: Run LocationTemplate Behavior [ RunTime:0.002191s ]
[ 2017-04-17T09:36:25+08:00 ] /web/qudao/index.php/Login | INFO: Tag[ view_template ] --END-- [ RunTime:0.002268s ]
[ 2017-04-17T09:36:25+08:00 ] /web/qudao/index.php/Login | INFO: Tag[ view_parse ] --START--
[ 2017-04-17T09:36:25+08:00 ] /web/qudao/index.php/Login | INFO: Run ParseTemplate Behavior [ RunTime:0.023749s ]
[ 2017-04-17T09:36:25+08:00 ] /web/qudao/index.php/Login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.023829s ]
[ 2017-04-17T09:36:25+08:00 ] /web/qudao/index.php/Login | INFO: Tag[ view_filter ] --START--
[ 2017-04-17T09:36:25+08:00 ] /web/qudao/index.php/Login | INFO: Run ContentReplace Behavior [ RunTime:0.001652s ]
[ 2017-04-17T09:36:25+08:00 ] /web/qudao/index.php/Login | INFO: Run TokenBuild Behavior [ RunTime:0.001544s ]
[ 2017-04-17T09:36:25+08:00 ] /web/qudao/index.php/Login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001213s ]
