[ 2017-04-22T10:46:08+08:00 ] /web/tuiguang/index.php/Login | INFO: Tag[ route_check ] --START--
[ 2017-04-22T10:46:08+08:00 ] /web/tuiguang/index.php/Login | INFO: Run CheckRoute Behavior [ RunTime:0.001609s ]
[ 2017-04-22T10:46:08+08:00 ] /web/tuiguang/index.php/Login | INFO: Tag[ route_check ] --END-- [ RunTime:0.001727s ]
[ 2017-04-22T10:46:08+08:00 ] /web/tuiguang/index.php/Login | INFO: Tag[ app_begin ] --START--
[ 2017-04-22T10:46:08+08:00 ] /web/tuiguang/index.php/Login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001091s ]
[ 2017-04-22T10:46:08+08:00 ] /web/tuiguang/index.php/Login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001128s ]
[ 2017-04-22T10:46:08+08:00 ] /web/tuiguang/index.php/Login | NOTIC: [8] A session had already been started - ignoring session_start() functions.php 第 411 行.
[ 2017-04-22T10:46:08+08:00 ] /web/tuiguang/index.php/Login | INFO: Tag[ view_template ] --START--
[ 2017-04-22T10:46:08+08:00 ] /web/tuiguang/index.php/Login | INFO: Run LocationTemplate Behavior [ RunTime:0.001410s ]
[ 2017-04-22T10:46:08+08:00 ] /web/tuiguang/index.php/Login | INFO: Tag[ view_template ] --END-- [ RunTime:0.001470s ]
[ 2017-04-22T10:46:08+08:00 ] /web/tuiguang/index.php/Login | INFO: Tag[ view_parse ] --START--
[ 2017-04-22T10:46:08+08:00 ] /web/tuiguang/index.php/Login | INFO: Run ParseTemplate Behavior [ RunTime:0.052860s ]
[ 2017-04-22T10:46:08+08:00 ] /web/tuiguang/index.php/Login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.052928s ]
[ 2017-04-22T10:46:08+08:00 ] /web/tuiguang/index.php/Login | INFO: Tag[ view_filter ] --START--
[ 2017-04-22T10:46:08+08:00 ] /web/tuiguang/index.php/Login | INFO: Run ContentReplace Behavior [ RunTime:0.000967s ]
[ 2017-04-22T10:46:08+08:00 ] /web/tuiguang/index.php/Login | INFO: Run TokenBuild Behavior [ RunTime:0.000940s ]
[ 2017-04-22T10:46:08+08:00 ] /web/tuiguang/index.php/Login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000826s ]
[ 2017-04-22T10:46:08+08:00 ] /web/tuiguang/index.php/Login | INFO: Run ShowRuntime Behavior [ RunTime:0.000948s ]
[ 2017-04-22T10:46:08+08:00 ] /web/tuiguang/index.php/Login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003786s ]
[ 2017-04-22T10:46:08+08:00 ] /web/tuiguang/index.php/Login | NOTIC: [2] Cannot modify header information - headers already sent by (output started at F:\nginx-1.8.1\html\web\tuiguang\Common\common.php:1) View.class.php 第 120 行.
[ 2017-04-22T10:46:08+08:00 ] /web/tuiguang/index.php/Login | NOTIC: [2] Cannot modify header information - headers already sent by (output started at F:\nginx-1.8.1\html\web\tuiguang\Common\common.php:1) View.class.php 第 121 行.
[ 2017-04-22T10:46:08+08:00 ] /web/tuiguang/index.php/Login | NOTIC: [2] Cannot modify header information - headers already sent by (output started at F:\nginx-1.8.1\html\web\tuiguang\Common\common.php:1) View.class.php 第 122 行.
[ 2017-04-22T10:46:08+08:00 ] /web/tuiguang/index.php/Login | INFO: Tag[ view_end ] --START--
[ 2017-04-22T10:46:08+08:00 ] /web/tuiguang/index.php/Login | INFO: Run ShowPageTrace Behavior [ RunTime:0.000961s ]
[ 2017-04-22T10:46:08+08:00 ] /web/tuiguang/index.php/Login | INFO: Tag[ view_end ] --END-- [ RunTime:0.000995s ]
[ 2017-04-22T10:46:08+08:00 ] /web/tuiguang/index.php/Login/verify | INFO: Tag[ route_check ] --START--
[ 2017-04-22T10:46:08+08:00 ] /web/tuiguang/index.php/Login/verify | INFO: Run CheckRoute Behavior [ RunTime:0.001483s ]
[ 2017-04-22T10:46:08+08:00 ] /web/tuiguang/index.php/Login/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.001579s ]
[ 2017-04-22T10:46:08+08:00 ] /web/tuiguang/index.php/Login/verify | INFO: Tag[ app_begin ] --START--
[ 2017-04-22T10:46:08+08:00 ] /web/tuiguang/index.php/Login/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001487s ]
[ 2017-04-22T10:46:08+08:00 ] /web/tuiguang/index.php/Login/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001546s ]
[ 2017-04-22T10:46:08+08:00 ] /web/tuiguang/index.php/Login/verify | NOTIC: [8] A session had already been started - ignoring session_start() functions.php 第 411 行.
[ 2017-04-22T10:46:08+08:00 ] /web/tuiguang/index.php/Login/verify | NOTIC: [8] ob_end_clean() [<a href='ref.outcontrol'>ref.outcontrol</a>]: failed to delete buffer. No buffer to delete. LoginAction.class.php 第 47 行.
[ 2017-04-22T10:46:08+08:00 ] /web/tuiguang/index.php/Login/verify | NOTIC: [2] Cannot modify header information - headers already sent by (output started at F:\nginx-1.8.1\html\web\tuiguang\Common\common.php:1) Image.class.php 第 508 行.
[ 2017-04-22T10:46:31+08:00 ] /web/tuiguang/index.php/Login/userCheck | INFO: Tag[ route_check ] --START--
[ 2017-04-22T10:46:31+08:00 ] /web/tuiguang/index.php/Login/userCheck | INFO: Run CheckRoute Behavior [ RunTime:0.004744s ]
[ 2017-04-22T10:46:31+08:00 ] /web/tuiguang/index.php/Login/userCheck | INFO: Tag[ route_check ] --END-- [ RunTime:0.005026s ]
[ 2017-04-22T10:46:31+08:00 ] /web/tuiguang/index.php/Login/userCheck | INFO: Tag[ app_begin ] --START--
[ 2017-04-22T10:46:31+08:00 ] /web/tuiguang/index.php/Login/userCheck | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002078s ]
[ 2017-04-22T10:46:31+08:00 ] /web/tuiguang/index.php/Login/userCheck | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002183s ]
[ 2017-04-22T10:46:31+08:00 ] /web/tuiguang/index.php/Login/userCheck | NOTIC: [8] A session had already been started - ignoring session_start() functions.php 第 411 行.
[ 2017-04-22T10:46:31+08:00 ] /web/tuiguang/index.php/Login/userCheck | NOTIC: [8] A session had already been started - ignoring session_start() LoginAction.class.php 第 10 行.
[ 2017-04-22T10:46:32+08:00 ] /web/tuiguang/index.php/Login | INFO: Tag[ route_check ] --START--
[ 2017-04-22T10:46:32+08:00 ] /web/tuiguang/index.php/Login | INFO: Run CheckRoute Behavior [ RunTime:0.003768s ]
[ 2017-04-22T10:46:32+08:00 ] /web/tuiguang/index.php/Login | INFO: Tag[ route_check ] --END-- [ RunTime:0.004147s ]
[ 2017-04-22T10:46:32+08:00 ] /web/tuiguang/index.php/Login | INFO: Tag[ app_begin ] --START--
[ 2017-04-22T10:46:32+08:00 ] /web/tuiguang/index.php/Login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001755s ]
[ 2017-04-22T10:46:32+08:00 ] /web/tuiguang/index.php/Login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001932s ]
[ 2017-04-22T10:46:32+08:00 ] /web/tuiguang/index.php/Login | NOTIC: [8] A session had already been started - ignoring session_start() functions.php 第 411 行.
[ 2017-04-22T10:46:32+08:00 ] /web/tuiguang/index.php/Login | INFO: Tag[ view_template ] --START--
[ 2017-04-22T10:46:32+08:00 ] /web/tuiguang/index.php/Login | INFO: Run LocationTemplate Behavior [ RunTime:0.001789s ]
[ 2017-04-22T10:46:32+08:00 ] /web/tuiguang/index.php/Login | INFO: Tag[ view_template ] --END-- [ RunTime:0.001859s ]
[ 2017-04-22T10:46:32+08:00 ] /web/tuiguang/index.php/Login | INFO: Tag[ view_parse ] --START--
[ 2017-04-22T10:46:32+08:00 ] /web/tuiguang/index.php/Login | INFO: Run ParseTemplate Behavior [ RunTime:0.015897s ]
[ 2017-04-22T10:46:32+08:00 ] /web/tuiguang/index.php/Login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.015979s ]
[ 2017-04-22T10:46:32+08:00 ] /web/tuiguang/index.php/Login | INFO: Tag[ view_filter ] --START--
[ 2017-04-22T10:46:32+08:00 ] /web/tuiguang/index.php/Login | INFO: Run ContentReplace Behavior [ RunTime:0.000976s ]
[ 2017-04-22T10:46:32+08:00 ] /web/tuiguang/index.php/Login | INFO: Run TokenBuild Behavior [ RunTime:0.001037s ]
[ 2017-04-22T10:46:32+08:00 ] /web/tuiguang/index.php/Login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001020s ]
[ 2017-04-22T10:46:32+08:00 ] /web/tuiguang/index.php/Login | INFO: Run ShowRuntime Behavior [ RunTime:0.003393s ]
[ 2017-04-22T10:46:32+08:00 ] /web/tuiguang/index.php/Login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.006792s ]
[ 2017-04-22T10:46:32+08:00 ] /web/tuiguang/index.php/Login | NOTIC: [2] Cannot modify header information - headers already sent by (output started at F:\nginx-1.8.1\html\web\tuiguang\Common\common.php:1) View.class.php 第 120 行.
[ 2017-04-22T10:46:32+08:00 ] /web/tuiguang/index.php/Login | NOTIC: [2] Cannot modify header information - headers already sent by (output started at F:\nginx-1.8.1\html\web\tuiguang\Common\common.php:1) View.class.php 第 121 行.
[ 2017-04-22T10:46:32+08:00 ] /web/tuiguang/index.php/Login | NOTIC: [2] Cannot modify header information - headers already sent by (output started at F:\nginx-1.8.1\html\web\tuiguang\Common\common.php:1) View.class.php 第 122 行.
[ 2017-04-22T10:46:32+08:00 ] /web/tuiguang/index.php/Login | INFO: Tag[ view_end ] --START--
[ 2017-04-22T10:46:32+08:00 ] /web/tuiguang/index.php/Login | INFO: Run ShowPageTrace Behavior [ RunTime:0.003869s ]
[ 2017-04-22T10:46:32+08:00 ] /web/tuiguang/index.php/Login | INFO: Tag[ view_end ] --END-- [ RunTime:0.004104s ]
[ 2017-04-22T10:46:32+08:00 ] /web/tuiguang/index.php/Login/verify | INFO: Tag[ route_check ] --START--
[ 2017-04-22T10:46:32+08:00 ] /web/tuiguang/index.php/Login/verify | INFO: Run CheckRoute Behavior [ RunTime:0.002285s ]
[ 2017-04-22T10:46:32+08:00 ] /web/tuiguang/index.php/Login/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.002596s ]
[ 2017-04-22T10:46:32+08:00 ] /web/tuiguang/index.php/Login/verify | INFO: Tag[ app_begin ] --START--
[ 2017-04-22T10:46:32+08:00 ] /web/tuiguang/index.php/Login/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.006952s ]
[ 2017-04-22T10:46:32+08:00 ] /web/tuiguang/index.php/Login/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.007280s ]
[ 2017-04-22T10:46:32+08:00 ] /web/tuiguang/index.php/Login/verify | NOTIC: [8] A session had already been started - ignoring session_start() functions.php 第 411 行.
[ 2017-04-22T10:46:32+08:00 ] /web/tuiguang/index.php/Login/verify | NOTIC: [8] ob_end_clean() [<a href='ref.outcontrol'>ref.outcontrol</a>]: failed to delete buffer. No buffer to delete. LoginAction.class.php 第 47 行.
[ 2017-04-22T10:46:32+08:00 ] /web/tuiguang/index.php/Login/verify | NOTIC: [2] Cannot modify header information - headers already sent by (output started at F:\nginx-1.8.1\html\web\tuiguang\Common\common.php:1) Image.class.php 第 508 行.
[ 2017-04-22T10:46:33+08:00 ] /web/tuiguang/index.php/Login/verify?t=1492829193043 | INFO: Tag[ route_check ] --START--
[ 2017-04-22T10:46:33+08:00 ] /web/tuiguang/index.php/Login/verify?t=1492829193043 | INFO: Run CheckRoute Behavior [ RunTime:0.002553s ]
[ 2017-04-22T10:46:33+08:00 ] /web/tuiguang/index.php/Login/verify?t=1492829193043 | INFO: Tag[ route_check ] --END-- [ RunTime:0.002700s ]
[ 2017-04-22T10:46:33+08:00 ] /web/tuiguang/index.php/Login/verify?t=1492829193043 | INFO: Tag[ app_begin ] --START--
[ 2017-04-22T10:46:33+08:00 ] /web/tuiguang/index.php/Login/verify?t=1492829193043 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002457s ]
[ 2017-04-22T10:46:33+08:00 ] /web/tuiguang/index.php/Login/verify?t=1492829193043 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002557s ]
[ 2017-04-22T10:46:33+08:00 ] /web/tuiguang/index.php/Login/verify?t=1492829193043 | NOTIC: [8] A session had already been started - ignoring session_start() functions.php 第 411 行.
[ 2017-04-22T10:46:33+08:00 ] /web/tuiguang/index.php/Login/verify?t=1492829193043 | NOTIC: [8] ob_end_clean() [<a href='ref.outcontrol'>ref.outcontrol</a>]: failed to delete buffer. No buffer to delete. LoginAction.class.php 第 47 行.
[ 2017-04-22T10:46:33+08:00 ] /web/tuiguang/index.php/Login/verify?t=1492829193043 | NOTIC: [2] Cannot modify header information - headers already sent by (output started at F:\nginx-1.8.1\html\web\tuiguang\Common\common.php:1) Image.class.php 第 508 行.
[ 2017-04-22T10:46:33+08:00 ] /web/tuiguang/index.php/Login/verify?t=1492829193377 | INFO: Tag[ route_check ] --START--
[ 2017-04-22T10:46:33+08:00 ] /web/tuiguang/index.php/Login/verify?t=1492829193377 | INFO: Run CheckRoute Behavior [ RunTime:0.001303s ]
[ 2017-04-22T10:46:33+08:00 ] /web/tuiguang/index.php/Login/verify?t=1492829193377 | INFO: Tag[ route_check ] --END-- [ RunTime:0.001372s ]
[ 2017-04-22T10:46:33+08:00 ] /web/tuiguang/index.php/Login/verify?t=1492829193377 | INFO: Tag[ app_begin ] --START--
[ 2017-04-22T10:46:33+08:00 ] /web/tuiguang/index.php/Login/verify?t=1492829193377 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001065s ]
[ 2017-04-22T10:46:33+08:00 ] /web/tuiguang/index.php/Login/verify?t=1492829193377 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001107s ]
[ 2017-04-22T10:46:33+08:00 ] /web/tuiguang/index.php/Login/verify?t=1492829193377 | NOTIC: [8] A session had already been started - ignoring session_start() functions.php 第 411 行.
[ 2017-04-22T10:46:33+08:00 ] /web/tuiguang/index.php/Login/verify?t=1492829193377 | NOTIC: [8] ob_end_clean() [<a href='ref.outcontrol'>ref.outcontrol</a>]: failed to delete buffer. No buffer to delete. LoginAction.class.php 第 47 行.
